"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1489","Проверка кнопки Товары","","Thu Jun 19 22:44:35 MSK 2025","passed","Thu Jun 19 22:44:36 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testItemsButton"
"","3021","search()","","Thu Jun 19 22:44:08 MSK 2025","passed","Thu Jun 19 22:44:11 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","search"
"","6022","Проверка перехода в услугу по клике на карточку","","Thu Jun 19 22:44:47 MSK 2025","failed","Thu Jun 19 22:44:53 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testServiceCardButton"
"","2456","Проверка кнопки Поделиться","","Thu Jun 19 22:44:05 MSK 2025","passed","Thu Jun 19 22:44:08 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testShareButton"
"","6722","getCapcha()","","Thu Jun 19 12:20:48 MSK 2025","broken","Thu Jun 19 12:20:54 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","getCapcha"
"","2379","Проверка цены","","Thu Jun 19 22:44:25 MSK 2025","passed","Thu Jun 19 22:44:28 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testPriceDisplayed"
"","6944","Проверка наличия заголовка Описание","","Thu Jun 19 22:43:51 MSK 2025","passed","Thu Jun 19 22:43:58 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testDescriptionTitleDisplayed"
"","10696","Проверка заголовка страницы","","Thu Jun 19 14:53:13 MSK 2025","failed","Thu Jun 19 14:53:24 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testPageTitleDisplayed"
"","2076","Проверка перехода в корзину","","Thu Jun 19 22:45:03 MSK 2025","passed","Thu Jun 19 22:45:05 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testPressCartButton"
"","1920","Проверка кнопки Показать все товары","","Thu Jun 19 22:44:36 MSK 2025","passed","Thu Jun 19 22:44:38 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testShowAllItemsButton"
"","1935","Проверка нажатия Подробная информация","","Thu Jun 19 22:45:01 MSK 2025","passed","Thu Jun 19 22:45:03 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testPressMoreInformationButton"
"","10922","testDisclamerDisplayed()","","Thu Jun 19 13:09:46 MSK 2025","failed","Thu Jun 19 13:09:57 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testDisclamerDisplayed"
"","1594","Проверка названия сообщества","","Thu Jun 19 22:45:05 MSK 2025","passed","Thu Jun 19 22:45:06 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testPriceDisplayed"
"","7224","Проверка нажатия на название магазина","","Thu Jun 19 22:44:28 MSK 2025","failed","Thu Jun 19 22:44:35 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testShopNameInTheMiddleButton"
"","1680","Проверка кнопки с отзывами","","Thu Jun 19 22:44:45 MSK 2025","passed","Thu Jun 19 22:44:47 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testReviewButton"
"","1737","Проверка дисклеймера","","Thu Jun 19 22:44:03 MSK 2025","passed","Thu Jun 19 22:44:05 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testDisclaimerDisplayed"
"","1969","Проверка кнопки Показать все услуги","","Thu Jun 19 22:44:59 MSK 2025","passed","Thu Jun 19 22:45:01 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testShowAllServicesButton"
"","2129","Проверка текста описания","","Thu Jun 19 22:44:11 MSK 2025","passed","Thu Jun 19 22:44:13 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testDescriptionTextDisplayed"
"","5875","Проверка перехода в товар по клике на карточку","","Thu Jun 19 22:44:53 MSK 2025","failed","Thu Jun 19 22:44:59 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testItemsCardButton"
"","5115","Проверка кнопки Подписаться","","Thu Jun 19 22:43:58 MSK 2025","passed","Thu Jun 19 22:44:03 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testSubscribeButton"
"","5380","Проверка кнопки Подписаться","","Thu Jun 19 22:44:38 MSK 2025","passed","Thu Jun 19 22:44:44 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testSubscribeButton"
"","1441","Проверка кнопки Услуги","","Thu Jun 19 22:44:44 MSK 2025","passed","Thu Jun 19 22:44:45 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testServiceButton"
"","1844","Проверка названия товара","","Thu Jun 19 22:44:17 MSK 2025","passed","Thu Jun 19 22:44:19 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testItemTitleDisplayed"
"","4209","Проверка нажатия кнопки Написать","","Thu Jun 19 22:44:13 MSK 2025","passed","Thu Jun 19 22:44:17 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testWriteButton"
"","5814","Проверка кнопки с отзывами(звезды)","","Thu Jun 19 22:45:06 MSK 2025","failed","Thu Jun 19 22:45:12 MSK 2025","","com.example.demo.PublicPageTest","com.example.demo.PublicPageTest","testRatingStarsButton"
"","6331","Проверка кнопки Пожаловаться на услугу","","Thu Jun 19 22:44:19 MSK 2025","failed","Thu Jun 19 22:44:25 MSK 2025","","com.example.demo.ProductPageTest","com.example.demo.ProductPageTest","testReportButton"
